CakeVersion,Date,CompatibleCount,TotalCount
0.28.0,2018-07-17 00:03:14,79,237
0.26.0,2018-07-17 12:03:24,145,237
0.28.0,2018-07-17 12:03:24,79,237
0.26.0,2018-07-18 00:02:44,145,237
0.28.0,2018-07-18 00:02:44,79,237
0.26.0,2018-07-18 12:04:54,145,238
0.28.0,2018-07-18 12:04:54,79,238
0.26.0,2018-07-18 18:01:43,145,237
0.28.0,2018-07-18 18:01:44,80,237
0.26.0,2018-07-18 20:36:13,145,237
0.28.0,2018-07-18 20:36:13,80,237
0.26.0,2018-07-18 20:51:35,145,237
0.28.0,2018-07-18 20:51:36,80,237
0.26.0,2018-07-19 00:04:03,145,237
0.28.0,2018-07-19 00:04:03,80,237
0.26.0,2018-07-19 12:02:53,145,237
0.28.0,2018-07-19 12:02:53,80,237
0.26.0,2018-07-20 00:03:57,145,237
0.28.0,2018-07-20 00:03:57,80,237
0.26.0,2018-07-20 12:03:33,145,237
0.28.0,2018-07-20 12:03:33,80,237
0.26.0,2018-07-21 00:03:06,146,237
0.28.0,2018-07-21 00:03:06,81,237
